final_rank,candidate_id,llm_composite_score,semantic_score,rerank_score,technical_skill_match,career_trajectory,domain_relevance,behavioral_engagement,cultural_fit,bonus_signals,recommendation,reasoning,current_title,current_company,years_of_experience,location,current_industry
62,CAND_0001126,42.45,0.77933943,0.3211986124515533,1.0,5.2,3.8,8.9,4.6,7.0,no,"Matches 1/13 required skills (nlp). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.9 years experience (junior ml engineer at Vedantu), needs 9+. Strong open-source presence (GitHub score: 78/100). Highly responsive to recruiters (82%). India-based (Indore, Madhya Pradesh) — relocation may be needed.",Junior ML Engineer,Vedantu,4.9,"Indore, Madhya Pradesh",EdTech
63,CAND_0073450,41.55,0.7838054,0.5877296328544617,1.7,4.5,4.4,7.0,5.0,6.3,no,"Matches 2/13 required skills (embeddings, python). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 3.6 years experience (ai research engineer at Wysa), needs 9+. Available quickly (30-day notice). Location match (Noida, Uttar Pradesh).",AI Research Engineer,Wysa,3.6,"Noida, Uttar Pradesh",HealthTech AI
64,CAND_0006833,41.5,0.7725741,0.0024739759974181,0.8,5.7,7.4,6.0,5.1,7.6,no,"Matches 1/13 required skills (nlp). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.7 years experience (ai research engineer at Mad Street Den), needs 9+. Long notice period (120 days) may slow hiring. Strong open-source presence (GitHub score: 84/100). Direct industry match (ai/ml). India-based (Kochi, Kerala) — relocation may be needed.",AI Research Engineer,Mad Street Den,5.7,"Kochi, Kerala",AI/ML
65,CAND_0081321,41.1,0.794845,0.5425516963005066,0.9,7.2,3.8,8.8,7.2,2.0,no,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.3 years experience (senior software engineer (ml) at Freshworks), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. India-based (Coimbatore, Tamil Nadu) — relocation may be needed.",Senior Software Engineer (ML),Freshworks,5.3,"Coimbatore, Tamil Nadu",SaaS
66,CAND_0068393,40.65,0.8079233,0.5517682433128357,0.9,4.9,3.8,8.5,5.3,5.0,no,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.4 years experience (junior ml engineer at Haptik), needs 9+. Actively open to new opportunities. India-based (Indore, Madhya Pradesh) — relocation may be needed.",Junior ML Engineer,Haptik,4.4,"Indore, Madhya Pradesh",Conversational AI
67,CAND_0072784,40.4,0.7833147,0.0179549399763345,1.6,4.3,4.4,7.5,4.2,5.5,no,"Matches 2/13 required skills (rag, python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.4 years experience (ai specialist at Zoho), needs 9+. Highly responsive to recruiters (80%). Location match (Chennai, Tamil Nadu).",AI Specialist,Zoho,3.4,"Chennai, Tamil Nadu",SaaS
68,CAND_0088878,40.35,0.819034,0.0274580437690019,1.6,6.7,4.4,7.9,3.5,6.0,no,"Matches 2/13 required skills (embeddings, go). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 4.4 years experience (senior software engineer (ml) at Paytm), needs 9+. Long notice period (120 days) may slow hiring. Location match (Hyderabad, Telangana).",Senior Software Engineer (ML),Paytm,4.4,"Hyderabad, Telangana",Fintech
69,CAND_0043860,39.7,0.779398,0.0212438218295574,0.3,6.0,7.4,9.8,9.8,5.0,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.1 years experience (junior ml engineer at Aganitha), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). Highly responsive to recruiters (81%). Direct industry match (ai/ml). India-based (Bhubaneswar, Odisha) — relocation may be needed.",Junior ML Engineer,Aganitha,6.1,"Bhubaneswar, Odisha",AI/ML
70,CAND_0088438,39.05,0.7994615,0.0355460457503795,1.5,8.0,6.4,5.0,3.1,0.3,no,"Matches 2/13 required skills (llms, python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.6 years experience (senior software engineer (ml) at Saarthi.ai), needs 9+. Long notice period (120 days) may slow hiring. Location match (Hyderabad, Telangana).",Senior Software Engineer (ML),Saarthi.ai,6.6,"Hyderabad, Telangana",Voice AI
71,CAND_0061175,39.05,0.8001426,0.9542197585105896,0.9,6.3,3.8,8.6,5.7,5.1,no,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.7 years experience (ai research engineer at Haptik), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. India-based (Gurgaon, Haryana) — relocation may be needed.",AI Research Engineer,Haptik,6.7,"Gurgaon, Haryana",Conversational AI
72,CAND_0011923,38.2,0.7746898,0.3004569709300995,1.8,4.7,3.0,6.8,5.2,4.0,no,"Matches 2/13 required skills (llms, go). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.0 years experience (ai research engineer at PolicyBazaar), needs 9+.",AI Research Engineer,PolicyBazaar,4.0,Austin,Insurance Tech
73,CAND_0012632,38.15,0.7854317,0.9715805649757384,1.7,5.9,3.0,8.7,4.0,6.4,no,"Matches 2/13 required skills (python, embeddings). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 6.0 years experience (ai specialist at Razorpay), needs 9+. Long notice period (120 days) may slow hiring. Strong open-source presence (GitHub score: 71/100).",AI Specialist,Razorpay,6.0,Austin,Fintech
74,CAND_0076995,37.95,0.7865901,0.491615891456604,0.9,4.9,3.8,7.7,5.3,2.0,no,"Matches 1/13 required skills (nlp). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.4 years experience (ai research engineer at Haptik), needs 9+. Actively open to new opportunities. Highly responsive to recruiters (73%). India-based (Coimbatore, Tamil Nadu) — relocation may be needed.",AI Research Engineer,Haptik,4.4,"Coimbatore, Tamil Nadu",Conversational AI
75,CAND_0053472,37.55,0.79265106,0.3978288173675537,1.7,8.0,4.4,3.8,5.4,3.1,no,"Matches 2/13 required skills (llms, python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.5 years experience (senior software engineer (ml) at HCL), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. Location match (Noida, Uttar Pradesh).",Senior Software Engineer (ML),HCL,6.5,"Noida, Uttar Pradesh",IT Services
76,CAND_0060303,36.95,0.77322835,0.936959445476532,1.1,5.2,3.0,6.6,4.6,5.5,no,"Matches 1/13 required skills (rag). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.9 years experience (ai research engineer at upGrad), needs 9+. Strong open-source presence (GitHub score: 58/100). Highly responsive to recruiters (75%).",AI Research Engineer,upGrad,4.9,Austin,EdTech
77,CAND_0040677,36.3,0.78961563,0.0017362581565976,1.5,4.8,3.8,6.1,7.3,6.3,no,"Matches 2/13 required skills (llms, python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.2 years experience (ai research engineer at Swiggy), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. India-based (Kochi, Kerala) — relocation may be needed.",AI Research Engineer,Swiggy,4.2,"Kochi, Kerala",Food Delivery
78,CAND_0049540,34.8,0.8206847,0.0032776820007711,0.2,6.4,5.8,10.0,7.4,4.8,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.8 years experience (ml engineer at Saarthi.ai), needs 9+. Actively open to new opportunities. Highly responsive to recruiters (86%). India-based (Trivandrum, Kerala) — relocation may be needed.",ML Engineer,Saarthi.ai,6.8,"Trivandrum, Kerala",Voice AI
79,CAND_0014683,34.6,0.818468,0.5328899025917053,0.3,7.4,9.4,7.5,7.1,3.5,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.6 years experience (senior software engineer (ml) at Rephrase.ai), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. Highly responsive to recruiters (70%). Direct industry match (ai/ml). India-based (Jaipur, Rajasthan) — relocation may be needed.",Senior Software Engineer (ML),Rephrase.ai,5.6,"Jaipur, Rajasthan",AI/ML
80,CAND_0045475,34.5,0.7841586,0.0235430374741554,0.4,5.2,6.4,9.1,8.2,6.5,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.9 years experience (ml engineer at Genpact AI), needs 9+. Actively open to new opportunities. Location match (Delhi, Delhi).",ML Engineer,Genpact AI,4.9,"Delhi, Delhi",AI Services
81,CAND_0078810,34.4,0.8346708,0.4247355759143829,1.0,8.2,3.0,6.4,2.8,3.2,no,"Matches 1/13 required skills (embeddings). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 6.9 years experience (senior software engineer (ml) at Dream11), needs 9+. Long notice period (120 days) may slow hiring. Highly responsive to recruiters (80%).",Senior Software Engineer (ML),Dream11,6.9,Sydney,Gaming
82,CAND_0091229,34.35,0.80868375,0.1040215343236923,0.3,8.3,5.8,6.2,7.2,7.5,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 7.0 years experience (senior software engineer (ml) at Niramai), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 72/100). India-based (Bhubaneswar, Odisha) — relocation may be needed.",Senior Software Engineer (ML),Niramai,7.0,"Bhubaneswar, Odisha",HealthTech AI
83,CAND_0082086,33.25,0.81186867,0.0264445450156927,0.2,7.7,4.4,8.8,6.1,8.3,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.0 years experience (senior software engineer (ml) at Razorpay), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 83/100). Highly responsive to recruiters (85%). Location match (Delhi, Delhi).",Senior Software Engineer (ML),Razorpay,6.0,"Delhi, Delhi",Fintech
84,CAND_0016267,30.25,0.7859863,0.2607381939888,0.9,4.5,3.8,6.1,4.0,5.6,no,"Matches 1/13 required skills (llms). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.6 years experience (ai specialist at Freshworks), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. Strong open-source presence (GitHub score: 59/100). India-based (Coimbatore, Tamil Nadu) — relocation may be needed.",AI Specialist,Freshworks,3.6,"Coimbatore, Tamil Nadu",SaaS
85,CAND_0079688,30.2,0.84031,0.0060471696779131,0.4,6.0,8.0,8.0,5.0,8.0,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.3 years experience (senior software engineer (ml) at Aganitha), needs 9+. Long notice period (120 days) may slow hiring. Strong open-source presence (GitHub score: 51/100). Direct industry match (ai/ml). Location match (Bangalore, Karnataka).",Senior Software Engineer (ML),Aganitha,3.3,"Bangalore, Karnataka",AI/ML
86,CAND_0075175,30.15,0.792212,0.002276521641761,0.9,4.1,3.8,7.8,3.0,3.9,no,"Matches 1/13 required skills (computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 3.1 years experience (ai research engineer at BYJU'S), needs 9+. Long notice period (120 days) may slow hiring. India-based (Kolkata, West Bengal) — relocation may be needed.",AI Research Engineer,BYJU'S,3.1,"Kolkata, West Bengal",EdTech
87,CAND_0008517,29.85,0.7737404,0.5485230684280396,0.2,5.7,8.0,9.3,6.1,3.6,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.6 years experience (ai research engineer at Locobuzz), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. Highly responsive to recruiters (80%). Direct industry match (ai/ml). Location match (Noida, Uttar Pradesh).",AI Research Engineer,Locobuzz,5.6,"Noida, Uttar Pradesh",AI/ML
88,CAND_0082262,29.1,0.8238336,0.306976169347763,0.9,7.1,4.4,9.4,8.3,2.0,no,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.9 years experience (senior software engineer (ml) at Wipro), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). Location match (Bangalore, Karnataka). NOTE: Currently at Wipro — JD flags consulting-only backgrounds.",Senior Software Engineer (ML),Wipro,5.9,"Bangalore, Karnataka",IT Services
89,CAND_0025640,28.6,0.79715204,0.1296804994344711,0.5,5.7,3.8,9.8,6.3,4.2,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.6 years experience (ai research engineer at HCL), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). Highly responsive to recruiters (87%). India-based (Jaipur, Rajasthan) — relocation may be needed.",AI Research Engineer,HCL,5.6,"Jaipur, Rajasthan",IT Services
90,CAND_0089012,28.0,0.78378177,0.9316439628601074,2.1,4.3,4.4,9.7,5.9,7.7,no,"Matches 3/13 required skills (python, nlp, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 4.2 years experience (ai specialist at TCS), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 56/100). Highly responsive to recruiters (88%). Location match (Mumbai, Maharashtra). NOTE: Currently at TCS — JD flags consulting-only backgrounds.",AI Specialist,TCS,4.2,"Mumbai, Maharashtra",IT Services
91,CAND_0094358,27.6,0.79047656,0.9584044218063354,0.3,4.8,5.0,7.0,7.9,7.4,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.1 years experience (ml engineer at Saarthi.ai), needs 9+. Actively open to new opportunities. Available quickly (30-day notice).",ML Engineer,Saarthi.ai,4.1,San Francisco,Voice AI
92,CAND_0070930,24.55,0.7743138,0.1253147572278976,0.3,4.1,3.8,8.9,6.2,6.6,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.1 years experience (data scientist at CRED), needs 9+. Highly responsive to recruiters (82%). India-based (Ahmedabad, Gujarat) — relocation may be needed.",Data Scientist,CRED,3.1,"Ahmedabad, Gujarat",Fintech
93,CAND_0033311,24.45,0.772727,0.0035293484106659,0.1,5.0,9.4,4.5,6.7,3.8,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.5 years experience (ai specialist at Sarvam AI), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. Direct industry match (ai/ml). India-based (Trivandrum, Kerala) — relocation may be needed.",AI Specialist,Sarvam AI,4.5,"Trivandrum, Kerala",AI/ML
94,CAND_0092568,21.6,0.7929555,0.4543534219264984,0.9,5.2,4.4,5.7,7.7,6.9,no,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.7 years experience (ai specialist at TCS), needs 9+. Actively open to new opportunities. Location match (Noida, Uttar Pradesh). NOTE: Currently at TCS — JD flags consulting-only backgrounds.",AI Specialist,TCS,5.7,"Noida, Uttar Pradesh",IT Services
95,CAND_0058300,21.6,0.7791692,0.0011642822064459,1.6,4.5,3.8,7.5,7.2,3.5,no,"Matches 2/13 required skills (python, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 4.5 years experience (ai research engineer at Wipro), needs 9+. Actively open to new opportunities. India-based (Kolkata, West Bengal) — relocation may be needed. NOTE: Currently at Wipro — JD flags consulting-only backgrounds.",AI Research Engineer,Wipro,4.5,"Kolkata, West Bengal",IT Services
96,CAND_0042425,19.45,0.78355056,0.0280603617429733,1.6,3.8,3.8,7.2,6.4,4.5,no,"Matches 2/13 required skills (python, nlp). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.3 years experience (ai specialist at Infosys), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). Highly responsive to recruiters (85%). India-based (Vizag, Andhra Pradesh) — relocation may be needed. NOTE: Currently at Infosys — JD flags consulting-only backgrounds.",AI Specialist,Infosys,3.3,"Vizag, Andhra Pradesh",IT Services
97,CAND_0092468,18.2,0.7824413,0.0010839278111234,0.2,7.0,3.8,7.7,3.1,2.7,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.9 years experience (senior software engineer (ml) at InMobi), needs 9+. Long notice period (120 days) may slow hiring. India-based (Kolkata, West Bengal) — relocation may be needed.",Senior Software Engineer (ML),InMobi,4.9,"Kolkata, West Bengal",AdTech
98,CAND_0093185,17.95,0.77461576,0.0217710454016923,0.3,4.8,4.4,8.6,2.6,6.3,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.1 years experience (ai research engineer at Dream11), needs 9+. Long notice period (120 days) may slow hiring. Location match (Bangalore, Karnataka).",AI Research Engineer,Dream11,4.1,"Bangalore, Karnataka",Gaming
99,CAND_0030967,14.75,0.77255666,0.0459831357002258,0.7,5.7,3.8,7.6,4.6,5.3,no,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.6 years experience (senior software engineer (ml) at Wipro), needs 9+. Long notice period (120 days) may slow hiring. Strong open-source presence (GitHub score: 70/100). India-based (Coimbatore, Tamil Nadu) — relocation may be needed. NOTE: Currently at Wipro — JD flags consulting-only backgrounds.",Senior Software Engineer (ML),Wipro,3.6,"Coimbatore, Tamil Nadu",IT Services
100,CAND_0072803,0.0,0.7813382,0.9802535772323608,0.1,3.8,3.0,8.6,7.2,7.7,no,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.3 years experience (ai research engineer at Wipro), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. NOTE: Currently at Wipro — JD flags consulting-only backgrounds.",AI Research Engineer,Wipro,3.3,Toronto,IT Services
